,0
0,douleur
1,douleur
2,souffrance
3,douleur
4,avoir_mal_connais_bien
5,mal_cervicales
6,hernie_discale
7,nuque
8,arthrose
9,souffrance
10,souffrance
11,souffrance
12,maladie
13,bipolaire
14,souffrance_toujours_poser_questions
15,ne_jamais_être_serein
16,jamais_être_calme
17,jamais_être_apaisé
18,toujours_incertitude
19,angoisse
20,peur
21,douleur
22,peur
23,douleur
24,cervicale
25,cou
26,mal_chien
27,douleur
28,douleur
29,perdre
30,petit_bébé
31,petit_enfant
32,est_mort_maladie_nosocomiale
33,douleur
34,grande_tristesse
35,petit_garçon
36,maintenant_aurait_vingt-deux_ans
37,douleur_due_ces_médecins
38,mentir
39,trahir
40,douleur
41,douleur_mentale
42,douleur_morale
43,douleur_tête
44,fait_mal
45,apaiser
46,calme
47,sérénité
