,Groups,VF,acc,F1,MCC,penalty,C,best cv
5,mania & mixed mania,courage,0.5,0.6666666666666666,-0.3273268353539886,l2,0.01,0.6666666666666666
20,mania & mixed mania,debut,0.7,0.8235294117647058,0.0,l2,0.01,0.6666666666666666
35,mania & mixed mania,douleur,0.7,0.8235294117647058,0.0,l2,0.01,0.6666666666666666
50,mania & mixed mania,fcat,0.7,0.8235294117647058,0.0,l2,0.01,0.6666666666666666
65,mania & mixed mania,flib,0.7,0.8235294117647058,0.0,l2,0.01,0.6666666666666666
80,mania & mixed mania,flit,0.7,0.8235294117647058,0.0,l2,0.1,0.7
95,mania & mixed mania,piscine,0.6,0.7142857142857143,0.0476190476190476,l1,0.1,0.7666666666666668
110,mania & mixed mania,royaume,0.7,0.8235294117647058,0.0,l2,0.01,0.6666666666666666
125,mania & mixed mania,serpent,0.7,0.8235294117647058,0.0,l2,0.01,0.6266666666666666
