task,acc,F1,MCC,kernel,C,gamma,best cv
courage,0.9090909090909091,0.9333333333333333,0.8100925873009825,rbf,10.0,1.0,0.7499999999999999
debut,0.5454545454545454,0.6666666666666666,-0.03857583749052298,rbf,1.0,316.22776601683796,0.6833333333333333
douleur,0.7272727272727273,0.7999999999999999,0.38575837490522974,rbf,100.0,1.0,0.6833333333333333
piscine,0.7272727272727273,0.7999999999999999,0.38575837490522974,rbf,31.622776601683793,1.0,0.7083333333333333
royaume,0.36363636363636365,0.4615384615384615,-0.2608745973749754,rbf,316.22776601683796,1.0,0.75
serpent,0.8181818181818182,0.888888888888889,0.5163977794943222,rbf,1.0,100.0,0.65
fcat,0.7272727272727273,0.823529411764706,0.24056261216234406,linear,100.0,,0.8083333333333332
flib,0.45454545454545453,0.4,0.28867513459481287,rbf,100.0,1.0,0.6666666666666667
flit,0.36363636363636365,0.4615384615384615,-0.2608745973749754,rbf,100.0,1.0,0.6416666666666667
